epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,348.499,0,0.08326,0,0,0,0,0,0,0.19299,0,0.0452424,0.000242385,0.000242385
29,360.33,0,0.07731,0,0,0,0,0,0,0.19299,0,0.0432488,0.000248764,0.000248764
30,372.294,0,0.07756,0,0,0,0,0,0,0.17022,0,0.0412549,0.000254898,0.000254898
31,384.64,0,0.0697,0,0,0,0,0,0,0.17022,0,0.0392608,0.00026078,0.00026078
32,398.332,0,0.06986,0,0,0,0,0,0,0.17022,0,0.0372664,0.000266407,0.000266407
33,410.431,0,0.06682,0,0,0,0,0,0,0.15564,0,0.0352718,0.000271771,0.000271771
34,424.242,0,0.06345,0,0,0,0,0,0,0.15564,0,0.0332769,0.00027687,0.00027687
35,437.465,0,0.06356,0,0,0,0,0,0,0.15564,0,0.0312817,0.000281697,0.000281697
36,449.016,0,0.05984,0,0,0,0,0,0,0.14292,0,0.0292862,0.00028625,0.00028625
37,459.454,0,0.05581,0,0,0,0,0,0,0.14292,0,0.0272905,0.000290523,0.000290523
38,470.62,0,0.05587,0,0,0,0,0,0,0.14292,0,0.0252945,0.000294514,0.000294514
39,482.391,0,0.05269,0,0,0,0,0,0,0.1343,0,0.0232982,0.00029822,0.00029822
40,493.728,0,0.04897,0,0,0,0,0,0,0.1343,0,0.0213016,0.000301637,0.000301637
41,504.271,0,0.04901,0,0,0,0,0,0,0.1343,0,0.0193048,0.000304762,0.000304762
42,515.233,0,0.04902,0,0,0,0,0,0,0.12539,0,0.0173076,0.000307595,0.000307595
43,525.829,0,0.04569,0,0,0,0,0,0,0.12539,0,0.0153101,0.000310133,0.000310133
44,537.209,0,0.04583,0,0,0,0,0,0,0.12539,0,0.0133124,0.000312375,0.000312375
45,549.321,0,0.04582,0,0,0,0,0,0,0.12539,0,0.0113143,0.000314319,0.000314319
46,562.271,0,0.04495,0,0,0,0,0,0,0.11663,0,0.00931596,0.000315965,0.000315965
47,573.19,0,0.04388,0,0,0,0,0,0,0.11663,0,0.00731731,0.000317312,0.000317312
48,583.839,0,0.04395,0,0,0,0,0,0,0.11663,0,0.00531836,0.000318361,0.000318361
49,594.58,0,0.04393,0,0,0,0,0,0,0.11663,0,0.00331911,0.000319112,0.000319112
50,605.649,0,0.04341,0,0,0,0,0,0,0.10832,0,0.00131957,0.000319566,0.000319566
51,617.193,0,0.0426,0,0,0,0,0,0,0.10832,0,0.000316558,0.000316558,0.000316558
52,631,0,0.04262,0,0,0,0,0,0,0.10832,0,0.000310278,0.000310278,0.000310278
53,642.527,0,0.04266,0,0,0,0,0,0,0.10832,0,0.000303958,0.000303958,0.000303958
54,653.4,0,0.04219,0,0,0,0,0,0,0.09864,0,0.000297603,0.000297603,0.000297603
55,664.309,0,0.04161,0,0,0,0,0,0,0.09864,0,0.000291218,0.000291218,0.000291218
56,675.156,0,0.04165,0,0,0,0,0,0,0.09864,0,0.000284805,0.000284805,0.000284805
57,686.923,0,0.04157,0,0,0,0,0,0,0.09864,0,0.000278371,0.000278371,0.000278371
58,700.602,0,0.04117,0,0,0,0,0,0,0.09463,0,0.000271919,0.000271919,0.000271919
59,711.89,0,0.04071,0,0,0,0,0,0,0.09463,0,0.000265453,0.000265453,0.000265453
60,722.772,0,0.04065,0,0,0,0,0,0,0.09463,0,0.000258979,0.000258979,0.000258979
61,733.431,0,0.04062,0,0,0,0,0,0,0.09463,0,0.0002525,0.0002525,0.0002525
62,744.842,0,0.04039,0,0,0,0,0,0,0.09218,0,0.000246021,0.000246021,0.000246021
63,757.215,0,0.04005,0,0,0,0,0,0,0.09218,0,0.000239547,0.000239547,0.000239547
64,771.17,0,0.04001,0,0,0,0,0,0,0.09218,0,0.000233081,0.000233081,0.000233081
65,782.336,0,0.0399,0,0,0,0,0,0,0.09218,0,0.000226629,0.000226629,0.000226629
66,793.11,0,0.03964,0,0,0,0,0,0,0.09034,0,0.000220195,0.000220195,0.000220195
67,803.946,0,0.03932,0,0,0,0,0,0,0.09034,0,0.000213782,0.000213782,0.000213782
68,815.537,0,0.03946,0,0,0,0,0,0,0.09034,0,0.000207397,0.000207397,0.000207397
69,828.796,0,0.03943,0,0,0,0,0,0,0.09034,0,0.000201042,0.000201042,0.000201042
70,841.744,0,0.03921,0,0,0,0,0,0,0.08888,0,0.000194722,0.000194722,0.000194722
71,853.138,0,0.03898,0,0,0,0,0,0,0.08888,0,0.000188442,0.000188442,0.000188442
72,864.27,0,0.03897,0,0,0,0,0,0,0.08888,0,0.000182206,0.000182206,0.000182206
73,875.471,0,0.03898,0,0,0,0,0,0,0.08888,0,0.000176018,0.000176018,0.000176018
74,886.559,0,0.03875,0,0,0,0,0,0,0.08763,0,0.000169883,0.000169883,0.000169883
75,898.067,0,0.0386,0,0,0,0,0,0,0.08763,0,0.000163804,0.000163804,0.000163804
76,910.771,0,0.03857,0,0,0,0,0,0,0.08763,0,0.000157786,0.000157786,0.000157786
77,922.103,0,0.0385,0,0,0,0,0,0,0.08763,0,0.000151833,0.000151833,0.000151833
78,933.248,0,0.03842,0,0,0,0,0,0,0.08654,0,0.000145949,0.000145949,0.000145949
79,944.644,0,0.03827,0,0,0,0,0,0,0.08654,0,0.000140137,0.000140137,0.000140137
80,955.911,0,0.03828,0,0,0,0,0,0,0.08654,0,0.000134403,0.000134403,0.000134403
81,967.463,0,0.03824,0,0,0,0,0,0,0.08654,0,0.00012875,0.00012875,0.00012875
82,980.144,0,0.03818,0,0,0,0,0,0,0.08528,0,0.000123182,0.000123182,0.000123182
83,991.479,0,0.03803,0,0,0,0,0,0,0.08528,0,0.000117702,0.000117702,0.000117702
84,1002.68,0,0.03812,0,0,0,0,0,0,0.08528,0,0.000112314,0.000112314,0.000112314
85,1013.76,0,0.03805,0,0,0,0,0,0,0.08528,0,0.000107023,0.000107023,0.000107023
86,1025.11,0,0.03793,0,0,0,0,0,0,0.0836,0,0.000101832,0.000101832,0.000101832
87,1037.43,0,0.0379,0,0,0,0,0,0,0.0836,0,9.67432e-05,9.67432e-05,9.67432e-05
88,1049.64,0,0.03792,0,0,0,0,0,0,0.0836,0,9.17616e-05,9.17616e-05,9.17616e-05
89,1060.79,0,0.03788,0,0,0,0,0,0,0.0836,0,8.68902e-05,8.68902e-05,8.68902e-05
90,1072.45,0,0.03779,0,0,0,0,0,0,0.08249,0,8.21322e-05,8.21322e-05,8.21322e-05
91,1083.84,0,0.03777,0,0,0,0,0,0,0.08249,0,7.74911e-05,7.74911e-05,7.74911e-05
92,1095.95,0,0.03778,0,0,0,0,0,0,0.08249,0,7.29698e-05,7.29698e-05,7.29698e-05
93,1108.65,0,0.03773,0,0,0,0,0,0,0.08249,0,6.85717e-05,6.85717e-05,6.85717e-05
94,1119.88,0,0.03769,0,0,0,0,0,0,0.08216,0,6.42995e-05,6.42995e-05,6.42995e-05
95,1131.11,0,0.03757,0,0,0,0,0,0,0.08216,0,6.01564e-05,6.01564e-05,6.01564e-05
96,1142.41,0,0.03758,0,0,0,0,0,0,0.08216,0,5.6145e-05,5.6145e-05,5.6145e-05
97,1154.08,0,0.03764,0,0,0,0,0,0,0.08216,0,5.22683e-05,5.22683e-05,5.22683e-05
98,1166.76,0,0.03761,0,0,0,0,0,0,0.08193,0,4.85288e-05,4.85288e-05,4.85288e-05
99,1178.7,0,0.03747,0,0,0,0,0,0,0.08193,0,4.4929e-05,4.4929e-05,4.4929e-05
100,1189.91,0,0.03753,0,0,0,0,0,0,0.08193,0,4.14716e-05,4.14716e-05,4.14716e-05
101,1201.3,0,0.0375,0,0,0,0,0,0,0.08193,0,3.81587e-05,3.81587e-05,3.81587e-05
102,1213.22,0,0.03747,0,0,0,0,0,0,0.08186,0,3.49928e-05,3.49928e-05,3.49928e-05
103,1225.21,0,0.03742,0,0,0,0,0,0,0.08186,0,3.19759e-05,3.19759e-05,3.19759e-05
104,1238.4,0,0.03747,0,0,0,0,0,0,0.08186,0,2.91101e-05,2.91101e-05,2.91101e-05
105,1249.78,0,0.03752,0,0,0,0,0,0,0.08186,0,2.63975e-05,2.63975e-05,2.63975e-05
106,1261.55,0,0.03779,0,0,0,0,0,0,0.08182,0,2.38398e-05,2.38398e-05,2.38398e-05
107,1273.18,0,0.03759,0,0,0,0,0,0,0.08182,0,2.14388e-05,2.14388e-05,2.14388e-05
108,1285.36,0,0.03759,0,0,0,0,0,0,0.08182,0,1.91962e-05,1.91962e-05,1.91962e-05
109,1298.64,0,0.03777,0,0,0,0,0,0,0.08182,0,1.71135e-05,1.71135e-05,1.71135e-05
110,1310.34,0,0.03765,0,0,0,0,0,0,0.08211,0,1.51921e-05,1.51921e-05,1.51921e-05
111,1321.72,0,0.03761,0,0,0,0,0,0,0.08211,0,1.34334e-05,1.34334e-05,1.34334e-05
112,1334,0,0.03768,0,0,0,0,0,0,0.08211,0,1.18384e-05,1.18384e-05,1.18384e-05
113,1346.24,0,0.03744,0,0,0,0,0,0,0.08211,0,1.04085e-05,1.04085e-05,1.04085e-05
114,1359.84,0,0.03754,0,0,0,0,0,0,0.08243,0,9.14441e-06,9.14441e-06,9.14441e-06
115,1372.03,0,0.03742,0,0,0,0,0,0,0.08243,0,8.04714e-06,8.04714e-06,8.04714e-06
116,1383.45,0,0.03754,0,0,0,0,0,0,0.08243,0,7.1174e-06,7.1174e-06,7.1174e-06
117,1395,0,0.03756,0,0,0,0,0,0,0.08243,0,6.35583e-06,6.35583e-06,6.35583e-06
118,1407.54,0,0.03738,0,0,0,0,0,0,0.08262,0,5.76296e-06,5.76296e-06,5.76296e-06
119,1420.48,0,0.03761,0,0,0,0,0,0,0.08262,0,5.33919e-06,5.33919e-06,5.33919e-06
120,1433.61,0,0.03754,0,0,0,0,0,0,0.08262,0,5.08481e-06,5.08481e-06,5.08481e-06
